text,audio
አቶ አባተ ውስኪውን ደጋግመው ከሄዱ ቆይተዋል,1.mp3
ፀሃይዋ የዕለት ሞትዋ ለመሞት ይልቁል ወርዳ ኣድማስ ላይ የእሳት ፍም መስላ በመተኛቷች ደጅ መጨለም ጀምረዋል,2.mp3
ጉሞቹ በእሳት የጋዩ ይመስላሉ,3.mp3
ንፋስ ስለሌለ የሚታዩት ባህርዛፎች እይወዛወዙም,4.mp3
ህይወት ያላቸው አይመስሉም ,5.mp3
አረንጓዴ ቀለማቸው ወደ ጥቁረት ሊለወጥ ምንም አልቀረውም,6.mp3
የጸሀዬዋ ቁልቁል መውረድ እንግዳ ቤቱ ውስጥ ላሉት የኤሌክትሪክ መብራቶች ድምቀት ሰጥቶ ነፍስ ዘርቶባቸዋል ,7.mp3
እንግዳ ሴቱ በሲጃራ ጢስ ታፍኗል,8.mp3
እንዶጫማህ መጣመታን ተወውና ገነት ሆቴል ሄዶን ብናመሽ ይሻላል ,9.mp3
በዛሬ ሌሊት ክርስቶስ ከመቃብር ሲነሳ ተኝቼ ላንብብ ማለት መናፍቅ ያሰኛል,10.mp3
ሀጢአት ነው ለውግዘት የሚያበቃ ሀጢአት ነው,11.mp3
አለው ኣበራ ሃይለማርያምን,12.mp3
ኣብረው እንዲሄዱ ሀይለማርያምን ሲለምነው አራተኛው ጊዜ መሆኑ ነበር,13.mp3
አበራ በሚያብለጨልጭ ጥቁር ልብስና ተወልውሎ በሚያንጸባርቅ ጥቁር ጫማ ተሽሞንሙኗል,14.mp3
የነጭ ሸሚዙ ኮሌታ እንደውብ ጥርስ ከሩቅ ይጣራል,15.mp3
ቀይ ሆኖ ጥቁር ክብ ነጥቦች ያሉበት ክራቫቱና ተመሳሳይ የዶረት መሀረቡ በግሩም አኳሆን ከልብሱ ጋር ተዋህደዋል,16.mp3
ሀይለማርያም ከሚያነብበው መጽሀፍ ላይ ቀና ብሎ ጉሮሮውን ኣሳላና አሁን ገነት ሆቴል እንሂድ ብለህ ባት ጨቀጭቀኝ ምናለበት,17.mp3
ጥሩምባ ሲያናፋ ለመስማት ነው ወይስ ጭፈራ ለማየት 1 አይን ከማስቀየምና ጆሮ ከማስጠለዝ ሌላ ትርፉ ምንድንነው,18.mp3
ከሄድኩ ላይቀር የሚያስደስት የሰው ፊት የማይበት ቦታ ብሄድ ደስ ይለኛል,19.mp3
ለነፍስ ምግብ የሚሆን አለና አፉን እንደጉማሬ ከፍቶ ኣዛጋ ,20.mp3
መጽሀፉንና ሲጃራውን እንደያዘ ረጃጅም እጆቹን ወደላይ ዘርግቶ ተንጠራራ,21.mp3
ለነፍስ ምግብ የሚሆን እንደማያጋጥምህ አስቀድመህ እንዴት ልታውቅ ትችላለህ,22.mp3
መጽሀፉም ቢሆን እሹ ታገኛላችሁ በር ምቱ ይከፈትላችኋል ነው ያለው ይልቅ እንሂድ ከመሄዳችን በፊት ግን ልብስህን መለወጥ አለብህ ዛሬ እንኳን,23.mp3
የሀይለማርያም ቡናማ ኮትና ሱሪ ተጨማዶዋል,24.mp3
ለሶስትና ላራት ቀኖች፤ ቀንም ሆነ ሌሊት ተለይተውት የሚያውቁ አይመስሉም,25.mp3
ካንዱ በኩል ያለው የሸሚዙ ኮሌታ ወደላይ ተቀልሶ ከጆሮ ግንዱ ጋር ይሟገታል,26.mp3
ከእርጅናው የተነሳ ቀለሙ የደበዘዘው ቀይ ክራቫት ወደጐን አዘንብሏል ,27.mp3
ሸምቀቆው ተፈትቶ የሚያውቅ አይመስልም,28.mp3
የለበሰውን ልብስም ሆነ ያደረገውን ጫማ ከሸሚዙና ከእግር ሹራቡ በስተቀር የሚለውጠው ምናልባት በሶስት ወር አንድ ጊዜ ቢሆን ነው ,29.mp4
ልብሱን በለወጠበት እለት ቅንቅን እንዶያዘው ሰው ሰውነቱ ሲወራጭ ይውላል ቀኑ ሁሉ ይቀፈዋል ,30.mp4
እንሂድ ካልክ ተነስ መቼም አንተ ፈቃድህ ካልሞላ እንደህጻን ልጅ ሰው አትለቅም ለልብሴ እንደሆነ የጠላኝ ከፊቴ ዞር ሊል ይችላል አለና ተነስቶ ቆመ,31.mp3
ጨለማው አይን ያዝ ማድረግ ጀምሮአል ፎቹ ከሩቅ ሲታዩ አየር ላይ የተንሳፈፈ ጥላ ይመስላሉ እንዶውቅያኖስ ባህር በተንጣለለው ሰማይላይ የብር ስባሪ መስላ በባህርዛፎች መካከል የምትታየው ጨረቃ ከእንቅልፉ ነቅቶ እንደሚያዛጋ ህጻን ትማርካለች,32.mp3
